agent,seed,n,message,decoded message,score
6,732011,90,test,NULL,0
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
6,732011,90,NULL,NULL,1
