agent,seed,n,message,decoded message,score
8,713879,100,test,NULL,0
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,o,0
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
8,713879,100,NULL,NULL,1
