agent,seed,n,message,decoded message,score
5,764992,70,test,NULL,0
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,PARTIAL: dtuibfloowlenoteesos,0
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,PARTIAL:   WB O   M 7  CS6B8C   D6S A 4EPG        SSA A ,0
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,olrvbds0o0giolro lmar8n raevfaeo ,0
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL, ,0
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,PARTIAL: yzppacectanle,0
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,PARTIAL: e saee fnremaoUeoirsaooni   rr sfnhan,0
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL, rlyhnsleaxnces sene ece0ksdmsieaof,0
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,PARTIAL: eoe3rs,0
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
5,764992,70,NULL,NULL,1
