agent,seed,n,message,decoded message,score
7,591469,60,KPN NB82 09072025,PARTIAL: ,0.0
7,591469,60,UKN 2IJS 08192024,PARTIAL: ,0.0
7,591469,60,KBW UZVQ 09142024,PARTIAL: ,0.0
7,591469,60,FCM XYKR 10042025,VLD WLX8 11102023,0
7,591469,60,DCK V0OB 07252024,PARTIAL: ,0.0
7,591469,60,PHD 4HIO 11252024,MKC YLJ7 03282025,0
7,591469,60,PAH YZBQ 07032024,MOT A726 05142025,0
7,591469,60,VNC 21FX 09132023,OJC V2AN 04162023,0
7,591469,60,BBC C19U 01022025,PARTIAL: ,0.0
7,591469,60,CGI 08BO 01122023,MGJ ME6A 01052025,0
7,591469,60,SVW 5YJA 10202024,PARTIAL: ,0.0
7,591469,60,SYA GMLI 01072023,PARTIAL: ,0.0
7,591469,60,COE 29SV 07012024,COE 29S2 01062024,0
7,591469,60,BNL BW6S 01112024,PARTIAL: ,0.0
7,591469,60,BYG F3UT 12092024,PARTIAL: ,0.0
7,591469,60,RTL 0BEY 08122025,PARTIAL: ,0.0
7,591469,60,KLS 88VK 04032024,JMS 0H2J 09232025,0
7,591469,60,SOV N49A 09052025,JHW V8PL 07232023,0
7,591469,60,ESN NLDV 11012023,BTM JV51 08022024,0
7,591469,60,SHX A4P7 06152023,PARTIAL: ,0.0
7,591469,60,OTH G56S 04232024,PNS 82S7 02212024,0
7,591469,60,MTC WO05 09232024,PARTIAL: ,0.0
7,591469,60,ABI RRDJ 02232023,FLO QYII 12222023,0
7,591469,60,FAY KJRJ 06172025,FAY NWW5 03232023,0
7,591469,60,YKN GTDJ 06122025,PARTIAL: ,0.0
7,591469,60,PAE HY7I 08112023,CSG 48AB 11182024,0
7,591469,60,GRF D6LE 06142023,GRF D6LE 06142023,1
7,591469,60,HNB 1TDI 03032023,PARTIAL: ,0.0
7,591469,60,KGK 8L80 01082024,MPJ IJ7T 03132025,0
7,591469,60,CNM AI4F 03072025,LVS 2RRG 03222024,0
7,591469,60,KTN 2QPO 12082025,ISN 0FO0 01242024,0
7,591469,60,HUF 8CMS 09152025,HUF 2686 06182023,0
7,591469,60,BIG R63Y 09202023,PARTIAL: ,0.0
7,591469,60,FFT ZYO7 09012025,OGA IN25 08172025,0
7,591469,60,OEO L9HM 03252024,TZC G5MC 05262024,0
7,591469,60,GJT NMO0 12032025,HMT PGEC 12212023,0
7,591469,60,FWL 6LDG 01012023,PARTIAL: ,0.0
7,591469,60,HII 264H 05192023,ERV HB22 07202025,0
7,591469,60,LAL 1SO9 03152025,RDM BKXA 12042024,0
7,591469,60,BGQ DZ4Q 10232023,PARTIAL: ,0.0
7,591469,60,DAB FI2V 03242023,BIS 3FQX 02152024,0
7,591469,60,OOK A580 01052023,PARTIAL: ,0.0
7,591469,60,CID WB3H 09252025,DUJ LWWC 10052025,0
7,591469,60,GGG BR8S 06012025,MCK TEDN 11162024,0
7,591469,60,SDF 77XQ 05222025,COU W0OX 06192025,0
7,591469,60,LRO ZMI3 05262024,LRO ZMIW 06242023,0
7,591469,60,AVW 2K97 08172024,DWH TUK7 02062024,0
7,591469,60,DVT 7YFM 01152023,VPS H9A8 05282025,0
7,591469,60,FBR ZKZP 05032023,FBR 3HXO 07202025,0
7,591469,60,ALE 9HHM 01062023,PARTIAL: ,0.0
7,591469,60,BRW E7UE 12162024,PARTIAL: ,0.0
7,591469,60,ELI 71BK 06052024,PARTIAL: ,0.0
7,591469,60,FYM 4T03 12062024,PARTIAL: ,0.0
7,591469,60,RDM GFMS 05072025,IPL DI54 05172023,0
7,591469,60,HBG Y5Y6 12062023,PARTIAL: ,0.0
7,591469,60,CGA 5Z8W 12262023,PARTIAL: ,0.0
7,591469,60,PNX 1RTD 03232023,LZU CT5H 01182025,0
7,591469,60,VEL IRHT 07022023,LNK J1TO 01082024,0
7,591469,60,LNI TKX7 02012024,PARTIAL: ,0.0
7,591469,60,GTP 35RD 01172025,PARTIAL: ,0.0
7,591469,60,TLJ GM13 12042023,PARTIAL: ,0.0
7,591469,60,OFK K839 06232023,PVU 9YND 09152023,0
7,591469,60,MUT HHZ5 05032023,PARTIAL: ,0.0
