agent,seed,n,message,decoded message,score
4,764992,70,test,PARTIAL: test,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,@iskds5am3sa,0
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,"PARTIAL: 68.2463 N, 41.1829 W",0
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,"31.5371 S, 161.1519 W",0
4,764992,70,NULL,PARTIAL: NULL,0.8
4,764992,70,NULL,NULL,1
4,764992,70,NULL,NULL,1
4,764992,70,NULL,PARTIAL: NULL,0.8
