agent,seed,n,message,decoded message,score
6,699466,80,test,NULL,0
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
6,699466,80,NULL,NULL,1
