agent,seed,n,message,decoded message,score
5,713879,100,test,NULL,0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,PARTIAL: . e ehtt ro,0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL, ,0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL," 37,0.5.E709823 ,6415",0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,6.,0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,93,0
5,713879,100,NULL,"PARTIAL: ..56,,803 ,.NS08W251S69 76, 2N7073S726967.",0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,C ,0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,,0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,9  G 7S  U 801JT  8O  0ITE I9N9 T 31 N S A       7S ,0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,,0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,"PARTIAL: 31N214 4E638 8S24 2N14 48 ,4. S1N 9,88.3",0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,PARTIAL: dl inrshpdi  i ctrethmridcns eeWnt  h,0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,"PARTIAL: 81.0N04 E.,2 33  490,453. N5..00.4 04W. 733EW N",0
5,713879,100,NULL,tauneitaiperx0leohbwv.so,0
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
5,713879,100,NULL,NULL,1
