agent,seed,n,message,decoded message,score
3,187531,60,test,test,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,PARTIAL: 37288.79943002 N,0
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,Pippapasses Ristin Raymon Nick   Anel,0
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,,0
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
3,187531,60,NULL,NULL,1
