agent,seed,n,message,decoded message,score
4,460087,10,test,test,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,@9hpu4marnyisrncr07aag,0
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,p,0
4,460087,10,NULL,PARTIAL: rxkdywtvmtnwrws3h3vnfambqkpy4ws,0
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: mnbqf67mzm8ddc55ecwv2ut5erkkrxcorf,0
4,460087,10,NULL,@248glnsgnrgnkeet7u,0
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,qlruxmv,0
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: azat6 0oy63s7eca,0
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PLB EEIC11VNL 04014079,0
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,JCT 3EDOWTD7DLXG506CW 15839529,0
4,460087,10,NULL,NULL,1
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,PARTIAL: NULL,0.8
4,460087,10,NULL,NULL,1
