agent,seed,n,message,decoded message,score
5,451227,40,test,division adjacent condolences opt subsaharan properly,0
5,451227,40,NULL,T  0103  D,0
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,"s,wtsmevey oo",0
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,PARTIAL: nueoekheeis  raeoaa ,0
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,PARTIAL: 1 H C S5T 0 ,0
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,rontsee i ariefor ocs e,0
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,ob  eSiedoe rtretes hu ut,0
5,451227,40,NULL,NULL,1
5,451227,40,NULL,PARTIAL:  6  TA B UB     4  L M    Y  11TS ,0
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,PARTIAL: nd,0
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,NULL,1
5,451227,40,NULL,o1pmodok,0
