agent,seed,n,message,decoded message,score
3,764992,70,test,test,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,"PARTIAL: 0.0238 N, 0",0
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,55555 Eagle Prairie ,0
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,Solomon   Rachel Khalilah Caleigh Yan Vanwyck Nathaiel Skyler Mrk Skyler Shakerra   Gregory Rachale,0
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,Rachel Mary Lawson Durrell Isolina   Amy,0
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,PARTIAL: ,0.0
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,,0
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
3,764992,70,NULL,NULL,1
