agent,seed,n,message,decoded message,score
4,713879,100,test,PARTIAL: NULL,0
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,@l1snseliosbcloasis6,0
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: i7h9s77biww2s5kgne,0
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,RAC NT3 06225906,0
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,MPJ 63O 00283250,0
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,@ads06sn,0
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,@oorsnrst7esiesvveeidddds128u2a3s1nsnd@c,0
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,NULL,1
4,713879,100,NULL,NULL,1
4,713879,100,NULL,PARTIAL: NULL,0.8
4,713879,100,NULL,PARTIAL: @@@al0lrsxst6b84,0
