agent,seed,n,message,decoded message,score
2,6038,50,test,test,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
2,6038,50,NULL,NULL,1
